id,value
flare.Fiction106367107.Novel106367879,16043
flare.Imagination105625465.ImaginaryBeing109483738,16034
flare.Concept105835747.Category105838765,16008
flare.Category105838765.Kind105839024,16008
flare.Area108497294.Scene108645963,15928
flare.Scene108645963.Venue108677628,15908
flare.Compound114818238.OrganicCompound114727670,15781
flare.Tract108673395.Park108615149,15765
flare.Facility103315023.Depository103177349,15737
flare.Area108497294.Section108648322,15702
flare.Section108648322.Vicinity108641113,15702
flare.Contestant109613191.Rival110533013,15627
flare.Legislator110253995.Senator110578471,15594
flare.GroupAction101080366.Conflict100958896,15516
flare.Depository103177349.Museum103800563,15184
flare.LanguageUnit106284225.Morpheme106306233,15086
flare.Morpheme106306233.Ending106308765,15013
flare.Facility103315023.Airfield102687992,14988
flare.Official110372373.Judge110225219,14940
flare.Adjudicator109769636.Judge110225219,14940
flare.Official110372373.Diplomat110013927,14918
flare.Road104096066.Highway103519981,14775
flare.Group100031264.Collection107951464,14731
flare.Scientist110560637.SocialScientist110619642,14522
flare.ImaginaryBeing109483738.FictionalCharacter109587565,14451
flare.Reformer110515194.Militant110315837,14436
flare.Airfield102687992.Airport102692232,14425
flare.Land109334396.Island109316454,14129
flare.GroupAction101080366.MilitaryAction100952963,14112
flare.Insect102159955.LepidopterousInsect102274024,13968
flare.Gathering107975026.Community108223802,13944
flare.Location100027167.Region108630039,13911
flare.Writing106362953.Document106470073,13845
flare.Location100027167.Point108620061,13624
flare.Scriptwriter110564905.Screenwriter110564400,13604
flare.Writer110794014.Scriptwriter110564905,13604
flare.MilitaryUnit108198398.ArmyUnit108190754,13507
flare.Creator109614315.Maker110284064,13320
flare.HeadOfState110164747.President110467179,13120
flare.Medium106254669.Telecommunication106271778,13076
flare.Self-propelledVehicle104170037.MotorVehicle103791235,13019
flare.Unit108189659.AdministrativeUnit108077292,12858
flare.AdministrativeDistrict108491826.Township108672199,12814
flare.BodyOfWater109225146.Lake109328904,12752
flare.WrittenCommunication106349220.Writing106359877,12676
flare.Scientist110560637.Biologist109855630,12663
flare.Matter100020827.Substance100020090,12638
flare.Person100007846.Engineer109615807,12599
flare.Communication100033020.Language106282651,12553
flare.Organization108008335.Party108256968,12401
flare.Telecommunication106271778.Broadcasting106276697,12212
flare.Vertebrate101471682.Mammal101861778,12208
flare.Device103183080.Instrument103574816,12201
flare.Broadcasting106276697.Television106277280,12197
flare.Vehicle104524313.Craft103125870,12196
flare.Diversion100426928.Entertainment100429048,12143
flare.Entertainment100429048.Show100520257,12143
flare.Person100007846.Capitalist109609232,12070
flare.Person100007846.GoodPerson110138767,12000
flare.Plant100017222.VascularPlant113083586,11787
flare.Musician110340312.Guitarist110151760,11618
flare.Contest107456188.Championship107457834,11560
flare.Politician110451263.Governor110140314,11388
flare.Expert109617867.Specialist110631941,11368
flare.Maker110284064.Manufacturer110292316,11248
flare.Writing106359877.CodingSystem106353757,11193
flare.MilitaryAction100952963.Battle100953559,11068
flare.LanguageUnit106284225.Word106286395,10984
flare.Senator110578471.StateSenator110650076,10948
flare.Business108061042.Carrier108057633,10910
flare.Carrier108057633.Line103671473,10910
flare.Person100007846.BadPerson109831962,10883
flare.CodingSystem106353757.Code106355894,10856
flare.Highway103519981.Expressway103306610,10839
flare.Code106355894.Software106566077,10832
flare.State100024720.Condition113920835,10815
flare.Scholar110557854.Philosopher110423589,10793
flare.Traveler109629752.Rider110529965,10789
flare.BadPerson109831962.Wrongdoer109633969,10779
flare.Device103183080.Machine103699975,10610
flare.Thrower110709529.Pitcher110435988,10602
flare.Person100007846.Thrower110709529,10602
flare.Ballplayer109835506.Pitcher110435988,10602
flare.Contest107456188.Tournament107464725,10533
flare.LepidopterousInsect102274024.Moth102283201,10445
flare.Press106263369.Newspaper106267145,10308
flare.Group100031264.BiologicalGroup107941170,10287
flare.BiologicalGroup107941170.TaxonomicGroup107992450,10280
flare.Whole100003553.NaturalObject100019128,10147
flare.Communication100033020.ExpressiveStyle107066659,10100
flare.Vertebrate101471682.Bird101503061,9975
flare.Publication106589574.Magazine106595351,9897
flare.Press106263369.Magazine106595351,9897
flare.Thing100002452.Unit109465459,9810
flare.Mammal101861778.Placental101886756,9779
flare.Structure104341686.Stadium104295881,9672
flare.Unit109465459.Molecule114682133,9586
flare.Defender109614684.Lawman110249459,9573
flare.Molecule114682133.Macromolecule114944888,9547
flare.OrganicCompound114727670.Macromolecule114944888,9547
flare.Word106286395.Form106290637,9485
flare.Unfortunate109630641.Prisoner110476086,9405
flare.Worker109632518.Assistant109815790,9345
flare.Business108061042.Manufacturer108060446,9317
flare.Serviceman110582746.EnlistedPerson110058777,9247
flare.EnlistedPerson110058777.Soldier110622053,9240
flare.Wrongdoer109633969.Principal110474950,9055
flare.Principal110474950.Criminal109977660,9055
flare.Diversion100426928.Sport100523513,9016
flare.Creator109614315.Architect109805475,9005
flare.Rival110533013.Champion109906704,8941
flare.Capitalist109609232.Businessperson109882716,8928
flare.Scientist110560637.Physicist110428004,8897
