id,value
flare.Scientist110560637.Mathematician110301261,5693
flare.School108276720.SecondarySchool108284481,5692
flare.Player110439851.TennisPlayer110701180,5659
flare.Athlete109820263.TennisPlayer110701180,5659
flare.AdministrativeDistrict108491826.Country108544813,5656
flare.Body107965085.Constituency108238156,5624
flare.Creator109614315.Inventor110214637,5624
flare.Contest107456188.Race107472657,5481
flare.Signal106791372.Recording104063661,5453
flare.ResidentialDistrict108553535.Suburb108554440,5447
flare.Friend110112591.Companion109945905,5439
flare.Work104599396.Publication106589574,5430
flare.Athlete109820263.Winger110782471,5391
flare.Broadcast106619428.TelevisionProgram106620579,5348
flare.Producer110480018.FilmMaker110088390,5219
flare.Announcement106746580.Program106748466,5186
flare.Person100007846.Convert109962414,5088
flare.Happening107283608.Incident107307477,5073
flare.Protein114728724.Enzyme114732946,5029
flare.Catalyst114723628.Enzyme114732946,5029
flare.AdministrativeDistrict108491826.SchoolDistrict108587709,5018
flare.Athlete109820263.Skier110605253,4948
flare.Scientist110560637.Physicist110428004,4852
flare.Happening107283608.Case107308889,4810
flare.Official110372373.Diplomat110013927,4792
flare.Intellectual109621545.Theorist110706812,4792
flare.Head110162991.Secretary110570019,4746
flare.Thoroughfare104426618.Street104334599,4716
flare.Legislator110253995.Senator110578471,4646
flare.Defender109614684.Guard110150071,4646
flare.Computer103082979.WebSite106359193,4642
flare.Runner110542888.Sprinter110641413,4616
flare.MotorVehicle103791235.Amphibian102704792,4595
flare.SkilledWorker110605985.Sailor110546633,4556
flare.Position108621598.Landmark108624891,4543
flare.Structure104341686.Memorial103743902,4487
flare.Member110307234.CouncilMember109944763,4360
flare.WoodyPlant113103136.Tree113104059,4359
flare.LepidopterousInsect102274024.Butterfly102274259,4319
flare.ArmyUnit108190754.Regiment108213817,4318
flare.Bishop109857200.Archbishop109805151,4299
flare.Barrier102796623.Dam103160309,4296
flare.Boatman109861946.Canoeist109891470,4296
flare.Artist109812338.Illustrator109812068,4295
flare.School108276720.GradeSchool108412749,4279
flare.Arthropod101767661.Insect102159955,4265
flare.Sovereign110628644.King110231515,4251
flare.Catalog106487897.Discography106488224,4241
flare.Show106619065.Attraction106615561,4232
flare.GeologicalFormation109287968.Range109403734,4225
flare.Building102913152.Skyscraper104233124,4207
flare.Operator110378412.Driver110034906,4171
flare.Line103671473.Airline102690081,4150
flare.FlagOfficer110094584.Admiral109771204,4139
flare.Structure104341686.Bridge102898711,4112
flare.Coach109931640.BaseballCoach109841515,4045
flare.Associate109816771.Participant110401829,4044
flare.Donor110025730.Philanthropist110421956,4005
flare.MedicalBuilding103739518.Hospital103540595,3982
flare.Combatant109939313.Fencer110085217,3980
flare.Teacher110694258.Missionary110322957,3945
flare.Lawman110249459.Sheriff110589140,3936
flare.Legislator110253995.Congressman109955781,3910
flare.Coach109931640.BasketballCoach109841955,3879
flare.Illness114061805.Disease114070360,3873
flare.Noble110271677.Baron109840520,3837
flare.Performer110415638.Dancer109989502,3811
flare.Collection107951464.Class107997703,3795
flare.Athlete109820263.Gymnast110153594,3763
flare.PlaceOfWorship103953416.Temple104407435,3721
flare.Unit108189659.Family108078020,3699
flare.Peer110412910.Duke110038620,3698
flare.Boatman109861946.Oarsman110368920,3669
flare.Association108049401.Institute108407330,3666
flare.ReligiousResidence104073948.Monastery103781244,3649
flare.SystemOfMeasurement113577171.Standard107260623,3643
flare.Document106470073.Report107218470,3639
flare.Intellectual109621545.Scholar110557854,3628
flare.Person100007846.Explorer110072708,3599
